,title,author,year,url,abstract,Unnamed: 0
12,Transformer in transformer,"['K Han', 'A Xiao', 'E Wu', 'J Guo', 'C Xu']",2021,https://proceedings.neurips.cc/paper/2021/hash/854d9fca60b4bd07f9bb215d59ef5561-Abstract.html,"Transformer is a new kind of neural architecture which encodes the input data as powerful  features via the attention mechanism. Basically, the visual transformers  visual transformers",
13,A survey on vision transformer,"['K Han', 'Y Wang', 'H Chen', 'X Chen', 'J Guo']",2022,https://ieeexplore.ieee.org/abstract/document/9716741/,"transformer is receiving more and more attention from the computer vision community. In this  paper, we review these vision transformer  transformer methods for pushing transformer into",
14,Point transformer,"['H Zhao', 'L Jiang', 'J Jia', 'PHS Torr']",2021,https://openaccess.thecvf.com/content/ICCV2021/html/Zhao_Point_Transformer_ICCV_2021_paper.html?ref=;,"We begin by briefly revisiting the general formulation of transformers and self-attention  operators. Then we present the point transformer layer for 3D point cloud processing. Lastly, we",
15,A review on the attention mechanism of deep learning,"['Z Niu', 'G Zhong', 'H Yu']",2021,https://www.sciencedirect.com/science/article/pii/S092523122100477X,"-art attention models proposed in recent years. Toward a better general understanding of  attention mechanisms, we define a unified model that is suitable for most attention structures.",
16,Attention mechanisms in computer vision: A survey,"['MH Guo', 'TX Xu', 'JJ Liu', 'ZN Liu', 'PT Jiang', 'TJ Mu']",2022,https://link.springer.com/article/10.1007/S41095-022-0271-Y,"attention mechanisms in computer vision and categorize them according to approach, such  as channel attention, spatial attention, temporal attention,  for attention mechanism research.",
17,Attention mechanism in neural networks: where it comes and where it goes,['D Soydaner'],2022,https://link.springer.com/article/10.1007/s00521-022-07366-3,"attention mechanisms over the years, and recent trends. We begin with the first attempts to  integrate the visual attention  neural networks armed with attention mechanisms. One of them",
18,Introduction to the physics and techniques of remote sensing,"['C Elachi', 'JJ Van Zyl']",2021,https://books.google.com/books?hl=en&lr=&id=B1QmEAAAQBAJ&oi=fnd&pg=PP1&dq=Remote+Sensing&ots=dOkyZG1F1U&sig=gBhlQL00AJSfYdj3fVoPVVNqWI8,"It also describes remote sensing instruments on, as  of remote sensing across the  electromagnetic spectrum (from ultraviolet to microwave), and the concepts behind the remote",
19,Remote sensing contributions to the scale issue,"['DJ Marceau', 'GJ Hay']",1999,https://www.tandfonline.com/doi/abs/10.1080/07038992.1999.10874735,the main contributions of remote sensing in relation to scale are reviewed. Remote sensing is   could further be applied in a remote sensing context to address the different components of,
20,On the nature of models in remote sensing,"['AH Strahler', 'CE Woodcock', 'JA Smith']",1986,https://www.sciencedirect.com/science/article/pii/0034425786900180,"of remote sensing models and the application of a taxonomy of models to existing work in  theory and applications of remote sensing.  to discuss the nature of remote sensing models, it is",
21,Introduction to statistical machine learning,['M Sugiyama'],2015,https://books.google.com/books?hl=en&lr=&id=4YsdCAAAQBAJ&oi=fnd&pg=PP1&dq=Statistical+Machine+Learning&ots=Kkmte7Qavq&sig=TkmhRZoAGfbS7QJSX5tH9fPFdn8,"the field of machine learning in Part 1. Then Part 2 introduces fundamental concepts of  probability and statistics, which form the mathematical basis of statistical machine learning. Part 2",
22,Current and future applications of statistical machine learning algorithms for agricultural machine vision systems,"['TU Rehman', 'MS Mahmud', 'YK Chang', 'J Jin']",2019,https://www.sciencedirect.com/science/article/pii/S0168169918304289,learning have been utilized for agriculture. This paper comprehensively surveyed current  application of statistical machine learning techniques in machine  statistical machine learning,
23,Statistical machine learning methods and remote sensing for sustainable development goals: A review,"['J Holloway', 'K Mengersen']",2018,https://www.mdpi.com/2072-4292/10/9/1365,"statistical domains. With this in mind, we reviewed the literature on statistical machine learning   We provide a review of useful statistical machine learning methods, how they work in a",
24,Media and communications,"['N Couldry', 'C Rodriguez', 'G Bolin']",2017,https://repository.upenn.edu/bitstreams/7fdb6ce0-44aa-409d-ad7c-db495c0c313b/download,"media” we mean technologies for the production, dissemination, and reception of  communication The relations between media, communications, and social progress are complex.",
25,Media/theory: thinking about media and communications,['S Moores'],2007,https://www.taylorfrancis.com/books/mono/10.4324/9780203099650/media-theory-shaun-moores,"media studies are not simply about studying media. Rather, they require an understanding of  how technologically mediated communication  and social sciences, Media/Theory makes a",
26,Media influences on marketing communications,"['DW Stewart', 'P Pavlou', 'S Ward']",2002,https://www.taylorfrancis.com/chapters/edit/10.4324/9781410602428-18/media-influences-marketing-communications-david-stewart-paulos-pavlou-scott-ward,"tics of media, how these characteristics influence responses to marketing communications,   effects of particular media types and vehicles on how marketing communication affects indi",
27,Artificial intelligence,['EB Hunt'],2014,https://books.google.com/books?hl=en&lr=&id=9y2jBQAAQBAJ&oi=fnd&pg=PP1&dq=Artificial+Intelligence&ots=uQTBXqcWvG&sig=RjMat1LZvh1k7qfTYfgp-3D6NZo,Artificial Intelligence provides information pertinent to the fundamental aspects of artificial  intelligence. This book presents the basic mathematical and computational approaches to,
28,Causability and explainability of artificial intelligence in medicine,"['A Holzinger', 'G Langs', 'H Denk']",2019,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1312,"Explainable artificial intelligence (AI) is attracting much interest in medicine. Technically, the  problem of explainability is as old as AI itself and classic AI represented comprehensible",
29,Artificial intelligence in medicine,"['J Holmes', 'L Sacchi', 'R Bellazzi']",2004,https://link.springer.com/content/pdf/10.1007/978-3-319-19551-3.pdf,"The European Society for Artificial Intelligence in Medicine (AIME) was established in 1986  following a very successful workshop held in Pavia, Italy, the year before. The principal aims",
30,Deep learning,"['Y LeCun', 'Y Bengio', 'G Hinton']",2015,https://www.nature.com/articles/nature14539,Deep learning allows computational models that are composed of multiple processing  layers to learn  Deep learning discovers intricate structure in large data sets by using the,
31,Deep learning,['I Goodfellow'],2016,https://synapse.koreamed.org/pdf/10.4258/hir.2016.22.4.351,Deep learning Deep learning,
32,Deep learning,['JD Kelleher'],2019,https://books.google.com/books?hl=en&lr=&id=b06qDwAAQBAJ&oi=fnd&pg=PP9&dq=Deep+Learning&ots=_pB_QQoUZP&sig=cPDWGmyChftrWTh611TMC5O0NaU,a deep learning system deep learning enables data-driven decisions by identifying and  extracting patterns from large datasets; its ability to learn from complex data makes deep learning,
33,Reinforcement learning: A survey,"['LP Kaelbling', 'ML Littman', 'AW Moore']",1996,https://www.jair.org/index.php/jair/article/view/10166,This paper surveys the field of reinforcement learning from a  learning. Both the historical  basis of the field and a broad selection of current work are summarized. Reinforcement learning,
34,Reinforcement learning,"['MA Wiering', 'M Van Otterlo']",2012,https://link.springer.com/content/pdf/10.1007/978-3-642-27645-3.pdf,"This includes PhD and master students, researchers in reinforcement learning itself, and  researchers in any other field who want to know about reinforcement learning. Having a",
35,Deep reinforcement learning: An overview,['Y Li'],2017,https://arxiv.org/abs/1701.07274,"exciting achievements of deep reinforcement learning (RL).  machine learning, deep learning  and reinforcement learning.  memory, unsupervised learning, transfer learning, multiagent",
36,Neural networks,"['H Abdi', 'D Valentin', 'B Edelman']",1999,https://books.google.com/books?hl=en&lr=&id=ZEID3w9STOUC&oi=fnd&pg=PP7&dq=Neural+Networks&ots=sAJBx1WA1E&sig=f8uoljS8VnU5UW3Ha9-3Jgtzdk0,"Because neural network models have strong relationships with statistical models, we also  discuss the interpretation of neural networks as statistical models in each chapter. The models",
37,An introduction to neural networks,['K Gurney'],2018,https://www.taylorfrancis.com/books/mono/10.1201/9781315273570/introduction-neural-networks-kevin-gurney,"The term “Neural networks” is a very evocative one. It suggests machines that are  One of  the main tasks of this book is to demystify neural networks and show how, while they indeed",
38,Neural networks and their applications,['CM Bishop'],1994,https://pubs.aip.org/aip/rsi/article-abstract/65/6/1803/682910,", and where neural network techniques have much to offer. Of the many neural network  models  respectively as the multilayer perceptron and the radial basis function network. These",
39,Introduction to data mining,['WID Mining'],2006,https://link.springer.com/content/pdf/10.1007/978-1-4302-3325-1_14?pdf=chapter%20toc,"To help you select the most appropriate data-mining algorithm or algorithms, we’ll start by  thinking about some of the business problems that SSAS data mining can impact. Later, we’ll tie",
40,Data mining in education,"['C Romero', 'S Ventura']",2013,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1075,"The goal of text mining, also referred to as text data mining or text analytics, is to derive  high-quality information from text. Typical text mining tasks include text categorization, text",
41,Data mining,['P Adriaans'],1996,https://books.google.com/books?hl=en&lr=&id=FJeiWtyHCRgC&oi=fnd&pg=PA18&dq=Data+Mining&ots=oxfKRtGEcj&sig=FvsapKkZw8zFNpqsReasCg6AP88,"so data warehouses tend to contain extremely large data sets. The combination of data  warehousing, decision support, and data mining  , data warehouse, KDD and data mining environ",
42,Big data analytics: a literature review paper,"['N Elgendy', 'A Elragal']",2014,https://link.springer.com/chapter/10.1007/978-3-319-08976-8_16,"the available literature on big data analytics. Accordingly, some of the various big data tools,   novelty and discussion of important topics related to big data, in order to serve the purpose",
43,A survey on platforms for big data analytics,"['D Singh', 'CK Reddy']",2015,https://link.springer.com/article/10.1186/s40537-014-0008-6,"big data analytics. This paper surveys different hardware platforms available for big data  analytics  as scalability, data I/O rate, fault tolerance, real-time processing, data size supported",
44,Big data analytics.,"['J Zakir', 'T Seymour', 'K Berg']",2015,https://iacis.org/iis/2015/2_iis_2015_81-90.pdf,component of a big data strategy. This paper discusses some of the most commonly used  big data technologies mostly open source that work together as a big data analytics system for,
45,R for data science,"['H Wickham', 'M Çetinkaya-Rundel', 'G Grolemund']",2023,https://books.google.com/books?hl=en&lr=&id=TiLEEAAAQBAJ&oi=fnd&pg=PT9&dq=Data+Science&ots=ZJq3fkyPpL&sig=JYyqRgRvUKC-gCduquvzCfYX5yM,"In our model of the data science process, you start with data import and tidying. Next, you  understand your data with an iterative cycle of transforming, visualizing, and modeling. You",
46,Data science in action,"['W Van Der Aalst', 'W van der Aalst']",2016,https://link.springer.com/chapter/10.1007/978-3-662-49851-4_1,"that process mining provides powerful tools for today’s data scientist. However, before  introducing the main topic of the book, we provide an overview of the data science discipline.",
47,Data science and its relationship to big data and data-driven decision making,"['F Provost', 'T Fawcett']",2013,https://www.liebertpub.com/doi/abs/10.1089/big.2013.1508,data science as the connective tissue between data-processing technologies (including those  for “big data”) and data- issue of data science as a field versus data science as a profession,
48,A new generation of the IMAGIC image processing system,"['M van Heel', 'G Harauz', 'EV Orlova', 'R Schmidt']",1996,https://www.sciencedirect.com/science/article/pii/S1047847796900040,The growing number of two- and three-dimensional analysis techniques and the interactive   to develop new image processing techniques. Various image processing software systems,
49,Image processing,"['LSG Kovásznay', 'HM Joseph']",1955,https://ieeexplore.ieee.org/abstract/document/4055456/,A scalar function of two independent variables can be visualized as an image. All mathematical  operations can be conceived as a modification or processing of the original image. An,
50,scikit-image: image processing in Python,"['S Van der Walt', 'JL Schönberger', 'J Nunez-Iglesias']",2014,https://peerj.com/articles/453/?report=reader&utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,"field of analysis. This paper describes scikit-image, a collection of image processing algorithms   tools, makes it an ideal environment in which to produce an image processing toolkit.",
51,Building applied natural language generation systems,"['E Reiter', 'R Dale']",1997,https://www.cambridge.org/core/journals/natural-language-engineering/article/building-applied-natural-language-generation-systems/FEB374A3FF652F06D8567A6FAB2EF36E,"In this article, we give an overview of Natural Language Generation (NLG) from an applied  system-building perspective. The article includes a discussion of when NLG techniques",
52,"Survey of the state of the art in natural language generation: Core tasks, applications and evaluation","['A Gatt', 'E Krahmer']",2018,https://www.jair.org/index.php/jair/article/view/11173,"This paper surveys the current state of the art in Natural Language Generation (nlg), defined  as the task of generating text or speech from non-linguistic input. A survey of nlg is timely in",
53,A survey of natural language generation,"['C Dong', 'Y Li', 'H Gong', 'M Chen', 'J Li', 'Y Shen']",2022,https://dl.acm.org/doi/abs/10.1145/3554727,"of the research on Natural Language Generation (NLG) over the past two decades, especially  in relation to data-to-text generation and text-to-text generation deep learning methods, as",
54,A review on speech recognition technique,"['SK Gaikwad', 'BW Gawali', 'P Yannawar']",2010,https://www.academia.edu/download/49255272/A_Review_on_Speech_Recognition_Technique20160930-21561-nv0vxq.pdf,"of speech recognition area is to developed technique and system to developed for speech   in statically modeling of speech ,automatic speech recognition today find widespread",
55,The Kaldi speech recognition toolkit,"['D Povey', 'A Ghoshal', 'G Boulianne']",2011,https://infoscience.epfl.ch/record/192584,"toolkit for speech recognition research. Kaldi provides a speech recognition system based   documentation and scripts for building complete recognition systems. Kaldi is written is C++,",
56,Automatic speech recognition,"['D Yu', 'L Deng']",2016,https://link.springer.com/content/pdf/10.1007/978-1-4471-5779-3.pdf,"DNN-HMM hybrid system for speech recognition, the tricks to  the tandem system for speech  recognition and the adaptation  exclusively within speech recognition without spreading into",
57,Applied predictive modeling,['M Kuhn'],2013,https://blog.aml4td.org/posts/central-iowa-r-user-group-talk-updated/CIRUG.pdf,Applied predictive modeling Applied predictive modeling,
58,What can we learn from predictive modeling?,"['SJ Cranmer', 'BA Desmarais']",2017,https://www.cambridge.org/core/journals/political-analysis/article/what-can-we-learn-from-predictive-modeling/DA6161B358A86146B2DB3E5025461554,"a benchmark predictive model: one based either on the “state-of-the-literature” model if one  is  using out-of-sample predictive accuracy as the sole criterion for model quality. Third, we",
59,A primer on predictive models,"['AK Waljee', 'PDR Higgins', 'AG Singal']",2014,https://journals.lww.com/ctg/abstract/2014/01000/a_primer_on_predictive_models.1.aspx,"model and to develop a new predictive model using the validation cohort data. For example,  there are over 60 published predictive models for  prior studies and predictive models. There",
60,Introduction to computer graphics,"['JD Foley', 'A Van Dam', 'SK Feiner', 'JF Hughes']",1994,http://www.cs.ioc.ee/yik/lib/20/Foley1.html,"for all beginners in computer graphics and  graphics programming, hardware, and applications.  Important algorithms are included to facilitate implementation of both 2D and 3D graphics",
61,Computer graphics: principles and practice,['JD Foley'],1996,https://books.google.com/books?hl=en&lr=&id=-4ngT05gmAQC&oi=fnd&pg=PA1&dq=Computer+Graphics&ots=Q_Gtc1jtr9&sig=3U2j95ZGNKXau1KBC194yyxpzro,"This book is almost a total rewrite of the Fundamentals of Interactive Computer Graphics,  and although this second edition contains nearly double the original 623 pages, we remain",
62,The computer graphics manual,['D Salomon'],2011,https://books.google.com/books?hl=en&lr=&id=DX4YstV76c4C&oi=fnd&pg=PP3&dq=Computer+Graphics&ots=ZwxFCAMFhm&sig=Yu_XB9q-ieyA2TnnWME_2etQ89U,", the power of computer-generated images is everywhere. Computer graphics has pervaded   comes into contact with computer graphics mostly in three areas, computers, television, and",
63,Understanding augmented reality: Concepts and applications,['AB Craig'],2013,https://books.google.com/books?hl=en&lr=&id=7_O5LaIC0SwC&oi=fnd&pg=PP1&dq=Augmented+Reality&ots=LIGDs1zOs5&sig=bdQnj3HpFlQoMtmwaKzI7yy4WpQ,"It is only by exploring augmented reality as a medium that we will be able to reach beyond   bigger picture of the capabilities and potential of augmented reality. Indeed, my hope is that",
64,"Augmented reality technologies, systems and applications","['J Carmigniani', 'B Furht', 'M Anisetti', 'P Ceravolo']",2011,https://link.springer.com/article/10.1007/s11042-010-0660-6,It surveys mobile augmented reality systems challenges and  of Augmented Reality and  speculates on future applications and where current research will lead Augmented Reality’s,
65,An overview of augmented reality,"['F Arena', 'M Collotta', 'G Pau', 'F Termine']",2022,https://www.mdpi.com/2073-431X/11/2/28,"Unlike virtual reality, augmented reality is designed for constant use on the move, which   ’s Spectacles are the first glasses that integrate real augmented reality functionality [48,49].",
66,State of the art of virtual reality technology,"['C Anthes', 'RJ García-Hernández']",2016,https://ieeexplore.ieee.org/abstract/document/7500674/,wave of Virtual Reality (VR) has  VR technology are constantly being introduced. This  software and hardware development is mainly lead by enthusiasts interested in the domain of VR,
67,Virtual reality,"['I Wohlgenannt', 'A Simons', 'S Stieglitz']",2020,https://link.springer.com/article/10.1007/s12599-020-00658-9,"VR headsets for gaming and entertainment, VR is experiencing a second spring. VR’s  ’in  2016, VR has become mature enough no longer to be part of Gartner’s Hype Cycle.",
68,Virtual reality technology,"['GC Burdea', 'P Coiffet']",2024,https://books.google.com/books?hl=en&lr=&id=0X4ZEQAAQBAJ&oi=fnd&pg=PA17&dq=Virtual+Reality&ots=Is5sg5b8Wu&sig=3t21aGXfBpUgYxsG5954P9iVafw,"virtual reality, Virtual Reality Technology, provides updated and expanded coverage of VR   innovations and applications that are making virtual reality more important than ever before.",
69,The evolution of robotics research,"['E Garcia', 'MA Jimenez', 'PG De Santos']",2007,https://ieeexplore.ieee.org/abstract/document/4141037/,"in robotics research have been denominated service robotics because  robotics such as  medical robotics, rehabilitation robotics, underwater robotics, field robotics, construction robotics",
70,Social robotics,"['C Breazeal', 'K Dautenhahn', 'T Kanda']",2016,https://link.springer.com/chapter/10.1007/978-3-319-32552-1_72,This chapter surveys some of the principal research trends in Social Robotics and its application  to human–robot interaction ( HRI human–robot interaction ). Social (or Sociable) robots,
71,New approaches to robotics,['RA Brooks'],1991,https://www.science.org/doi/abs/10.1126/science.253.5025.1227,"in robotics has influenced work in AI and vice versa (3). Over the last 7 years a new approach  to robotics  The approach grew out of dissatisfactions with traditional robotics and Al, which",
72,The internet of things: An overview,"['K Rose', 'S Eldridge', 'L Chapin']",2015,https://www.academia.edu/download/48790442/ISOC-IoT-Overview-20151014_0.pdf,"The Internet of Things is an emerging topic of technical, social, and economic significance.  Consumer products, durable goods, cars and trucks, industrial and utility components,",
73,The internet of things: a survey,"['S Li', 'LD Xu', 'S Zhao']",2015,https://link.springer.com/article/10.1007/S10796-014-9492-7,"In recent year, the Internet of Things (IoT) has drawn significant research attention. IoT is  considered as a part of the Internet of the future and will comprise billions of intelligent",
74,Challenges and opportunities of internet of things,['YK Chen'],2012,https://ieeexplore.ieee.org/abstract/document/6164978/,"To date, most Internet applications focus on providing information, interaction, and entertainment  for humans. However, with the widespread deployment of networked, intelligent sensor",
75,Where is current research on blockchain technology?—a systematic review,"['J Yli-Huumo', 'D Ko', 'S Choi', 'S Park', 'K Smolander']",2016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163477,studies related to Blockchain technology. The results of the mapping study would help us  to identify and map research areas related to Blockchain technology and possible research,
76,"An overview of blockchain technology: Architecture, consensus, and future trends","['Z Zheng', 'S Xie', 'H Dai', 'X Chen']",2017,https://ieeexplore.ieee.org/abstract/document/8029379/,"However, there are still many challenges of blockchain technology such as scalability and   overview on blockchain technology. We provide an overview of blockchain architechture firstly",
77,Blockchain technology in the energy sector: A systematic review of challenges and opportunities,"['M Andoni', 'V Robu', 'D Flynn', 'S Abram', 'D Geach']",2019,https://www.sciencedirect.com/science/article/pii/S1364032118307184,"that blockchain technologies can address, as well as the potential problems and drawbacks  that must be overcome for blockchain technologies to be implementable in that use case.",
78,Defining cybersecurity,"['D Craigen', 'N Diakun-Thibault', 'R Purse']",2014,https://www.timreview.ca/article/835,"review, we led multiple discussions on cybersecurity with a diverse group of practitioners,   of cybersecurity. In this article, we propose a resulting new definition: ""Cybersecurity is the",
79,Cybersecurity,['RA Kemmerer'],2003,https://ieeexplore.ieee.org/abstract/document/1201257/,", cybersecurity issues have become national security issues. Protecting the Internet is a  difficult task. Cybersecurity can be  This paper introduces some known threats to cybersecurity,",
80,Framework for improving critical infrastructure cybersecurity,['CI Cybersecurity'],2018,https://complexdiscovery.com/wp-content/uploads/2019/10/Framework-for-Improving-Critical-Infrastructure-Cybersecurity.pdf,"The United States depends on the reliable functioning of critical infrastructure. Cybersecurity  threats exploit the increased complexity and connectivity of critical infrastructure systems,",
81,Wireless networks,"['P Nicopolitidis', 'AS Pomportsis', 'GI Papadimitriou']",2003,https://dl.acm.org/doi/abs/10.5555/861925,"systems, fixed wireless systems, Wireless LANs, wireless ATM and  Networks (PANs) and  security issues in wireless networks Features a chapter on the simulation of wireless networks",
82,The capacity of wireless networks,"['P Gupta', 'PR Kumar']",2000,https://ieeexplore.ieee.org/abstract/document/825799/,by a wireless network. It is to these types of all wireless networks that this paper is addressed.  Such networks consist of a group of nodes which communicate with each other over a,
83,Artificial neural networks-based machine learning for wireless networks: A tutorial,"['M Chen', 'U Challita', 'W Saad', 'C Yin']",2019,https://ieeexplore.ieee.org/abstract/document/8755300/,/self-organizing network control and optimization and the ability of the wireless network to  dynamically learn the wireless environment and intelligently control the wireless network and,
84,Study and investigation on 5G technology: A systematic review,"['R Dangi', 'P Lalwani', 'G Choudhary', 'I You', 'G Pau']",2021,https://www.mdpi.com/1424-8220/22/1/26,"This survey article collected key information about 5G technology and recent advancements,  and it can be a kind of a guide for the reader. This survey provides an umbrella approach to",
85,An overview of 5G technology,"['JA Adebusola', 'AA Ariyo', 'OA Elisha']",2020,https://ieeexplore.ieee.org/abstract/document/9077620/,"5G has undergone several tests to ensure that it meets its requirement, most recently,  some mobile companies in China launched smartphones having 5G technology. Keywords—5G,",
86,5G technology of mobile communication: A survey,"['A Gohil', 'H Modi', 'SK Patel']",2013,https://ieeexplore.ieee.org/abstract/document/6526920/,"of 5G (Fifth Generation) technology of mobile communication, which is seen as consumer  oriented. In 5G technology, the  5G Technology stands for 5th Generation Mobile Technology.",
87,Cloud computing,"['N Antonopoulos', 'L Gillam']",2010,https://link.springer.com/content/pdf/10.1007/978-3-319-54645-2.pdf,"the rapid technological advancements in Cloud computing and how it will transform silos   emerging trends in Cloud computing such as edge computing (Cloudlets and fog computing),",
88,The characteristics of cloud computing,"['C Gong', 'J Liu', 'Q Zhang', 'H Chen']",2010,https://ieeexplore.ieee.org/abstract/document/5599083/,", utility computing and grid computing. In order to make clear the essential of cloud computing,   cloud computing being cloud computing and distinguish it from other research areas. The",
89,Cloud computing,"['A Sunyaev', 'A Sunyaev']",2020,https://link.springer.com/chapter/10.1007/978-3-030-34957-8_7,"This chapter provides a brief introduction to the very diverse domain of cloud computing.   of cloud computing, while also pointing out the pitfalls and drawbacks of cloud services, such as",
90,An overview on edge computing research,"['K Cao', 'Y Liu', 'G Meng', 'Q Sun']",2020,https://ieeexplore.ieee.org/abstract/document/9083958/,"of edge computing. First, it summarizes the concept of edge computing and compares it with  cloud computing Then summarize the architecture of edge computing, keyword technology,",
91,A survey on mobile edge computing: The communication perspective,"['Y Mao', 'C You', 'J Zhang', 'K Huang']",2017,https://ieeexplore.ieee.org/abstract/document/8016573/,"shift in mobile computing, from the centralized mobile cloud computing toward mobile edge  computing (MEC). The main feature of MEC is to push mobile computing, network control",
92,Deep learning with edge computing: A review,"['J Chen', 'X Ran']",2019,https://ieeexplore.ieee.org/abstract/document/8763885/,"Edge computing, where a fine mesh of compute nodes are  requirements of deep learning  on edge devices and also provides  of deep learning and edge computing. Specifically, it will",
93,Optical quantum computing,"[""JL O'brien""]",2007,https://www.science.org/doi/abs/10.1126/science.1142892,"powerful future quantum technology is a quantum computer, which promises exponentially  faster computation for particular tasks (1, 5). The quest to develop a quantum computer will",
94,Quantum computing,['J Gruska'],1999,https://www.fi.muni.cz/usr/gruska/quantum13f/qc1309.pdf,Quantum computational complexity has already been used to show why various modifications  (or fant asy versions) of quantum mechanics are much too powerful and this way we can,
95,An introduction to quantum computing for non-physicists,"['E Rieffel', 'W Polak']",2000,https://dl.acm.org/doi/abs/10.1145/367701.367709,is to guide computer scientists through  quantum computing from conventional computing.  We introduce basic principles of quantum mechanics to explain where the power of quantum,
96,Research in software engineering: an analysis of the literature,"['RL Glass', 'I Vessey', 'V Ramesh']",2002,https://www.sciencedirect.com/science/article/pii/S0950584902000496,"In this paper, we examine the state of software engineering ( of the field of software engineering  research, we determined to  key journals of the software engineering literature during that",
97,Software engineering,['KK Aggarwal'],2005,https://books.google.com/books?hl=en&lr=&id=dx2C9Zkez5YC&oi=fnd&pg=PA1&dq=Software+Engineering&ots=ZfTfXmSl7I&sig=ESRAOJoCcyU3zUaWE7YL6_TBysk,software using well established software engineering methodologies. Software engineering  methodologies constitute the framework that guides us in optimally developing the software,
98,A view of 20th and 21st century software engineering,['B Boehm'],2006,https://dl.acm.org/doi/abs/10.1145/1134285.1134288,the evolution of software engineering practices that have at  think carefully about software  engineering maturity models  change that will affect software engineering practices in the next,
99,Human-computer interaction,"['J Preece', 'Y Rogers', 'H Sharp', 'D Benyon', 'S Holland']",1994,https://dl.acm.org/doi/abs/10.5555/561701,"From the Publisher: Offering the most comprehensive account of the multidisciplinary field of  HCI, this book illustrates the powerful benefits of a user-oriented approach to the design of",
